source,attack,target,asr,fooling_rate,same_mistake_rate
VGG,OnePixel,ResNet_CW,1.4010130401982972,4.580152671755725,8.235294117647058
ResNet,FGSM,VGG,60.302756439222776,64.23051735428946,54.12701495436007
ResNet,PGD,VGG,49.54812471757795,46.35790869901625,48.156078991196765
ResNet,CW,VGG,3.5585178490736555,17.66595289079229,38.333333333333336
ResNet,AutoAttack,VGG,30.54676909173068,42.470607183121274,50.69890442009822
ResNet,DeepFool,VGG,1.8978761861726163,11.239669421487603,36.94267515923567
ResNet,OnePixel,VGG,3.0840488025305017,12.550607287449393,10.683760683760683
ResNet,FGSM,VGG_AA,26.38351172853564,26.44400785854617,39.68692449355433
ResNet,PGD,VGG_AA,9.644727852425415,8.533215430529458,32.17503217503217
ResNet,CW,VGG_AA,1.7194260988385333,7.815845824411135,35.66433566433567
ResNet,AutoAttack,VGG_AA,3.7235253928490093,4.863907231438235,32.68608414239482
ResNet,DeepFool,VGG_AA,0.922341152357094,5.289256198347108,35.064935064935064
ResNet,OnePixel,VGG_AA,1.7535868822591665,7.6923076923076925,11.029411764705882
ResNet,FGSM,VGG_CW,54.299920895016385,57.524557956778,53.85949696444059
ResNet,PGD,VGG_CW,40.36614306701322,37.58151873549243,50.48458149779736
ResNet,CW,VGG_CW,2.407051644253588,11.777301927194861,42.42424242424242
ResNet,AutoAttack,VGG_CW,22.19459825969036,30.391367369946853,54.07251707829742
ResNet,DeepFool,VGG_CW,1.3447847214374506,6.446280991735537,29.09090909090909
ResNet,OnePixel,VGG_CW,2.8929822578822466,7.6923076923076925,7.7272727272727275
ResNet,FGSM,ResNet,82.14093598708983,100.0,100.0
ResNet,PGD,ResNet,97.3318988703604,100.0,100.0
ResNet,CW,ResNet,10.048413125336202,100.0,100.0
ResNet,AutoAttack,ResNet,66.79935449166219,100.0,100.0
ResNet,DeepFool,ResNet,6.508875739644971,100.0,100.0
ResNet,OnePixel,ResNet,2.6573426573426575,100.0,100.0
ResNet,FGSM,ResNet_AA,51.67515992627128,54.07989521938441,41.94187582562748
ResNet,PGD,ResNet_AA,37.254689363547655,35.547695368630485,63.233012721067325
ResNet,CW,ResNet_AA,4.553832809281145,28.051391862955033,52.19638242894057
ResNet,AutoAttack,ResNet_AA,19.798330261303263,28.24931550974392,64.06338426711942
ResNet,DeepFool,ResNet_AA,2.3636560771983084,15.702479338842975,41.145833333333336
ResNet,OnePixel,ResNet_AA,2.0925946004553833,19.4331983805668,26.845637583892618
ResNet,FGSM,ResNet_CW,70.28774652440995,77.87819253438114,57.08366533864542
ResNet,PGD,ResNet_CW,77.10960232783705,75.75992041560738,80.65640429857682
ResNet,CW,ResNet_CW,5.377734669684234,33.5117773019272,51.298701298701296
ResNet,AutoAttack,ResNet_CW,47.483565039336135,69.02882911902077,80.93141797961076
ResNet,DeepFool,ResNet_CW,3.125336781980817,23.305785123966942,45.91439688715953
ResNet,OnePixel,ResNet_CW,2.123073607069727,14.979757085020243,19.23076923076923
